mes,geografia,uol1_name,uol2_name,sn1,sn2,issues_analysis2_analysis_sin_review_menor_7_dias,total_issues_analysis2_pasaron_analysis_sin_review,historias_deployed_fix_version,total_historias_deployed,repositorios_activos_nomenclatura_estandar,total_repositorios_activos,mediana_tiempos_pr_ tardado_ser_mergeadas_o_rechazadas,mediana_lineas_codigo_modificadas_prs_mergeadas_o_rechazadas,repositorios_activos_gobernados_chimera,"mediana_tiempo_desde_primera_contribucion_hasta_merge
permanentes","mediana_tiempo_ejecucion_pipelines_correctos
repositorio",ejecuciones_pipeline_estado_success,ejecuciones_pipeline_estado_success_ o_failure,"mediana_tiempo_entre_fallo_y_exito_pipeline
mediana_tiempo_entre_fallo_y_exito_pipeline",repositorios_actividad_y_analisis_sonarqube_ok,repositorios_actividad_analisis_sonarqube,items_desplegados_pruebas_xray_ejecutadas,items_desplegados
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,SALES SALESFORCE - CCS,DWP - COMPONENTES GLOBALES,1,2,6,9,2,6,3.64,942,5,2.62,39.5,4,5,97,3,3,5,12
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,SERVICE BANKERS'S TOOLS - DWP,DWP - SERVICING (CS),6,9,9,11,3,12,2.36,628,5,9.91,4.5,0,14,128,5,9,9,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,SERVICE BANKERS'S TOOLS - DWP,SERVICING SALESFORCE - CCS,4,13,8,14,4,10,5.15,148,7,8.01,33.5,9,9,25,7,9,7,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,SUSTAINABILITY,SUSTAINABILITY - COMMERCIAL,RETAIL/SME SUSTAINABILITY,2,15,4,10,7,14,5.99,359.5,8,7.14,5.5,5,15,57.5,3,12,2,2
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,SUSTAINABILITY,SUSTAINABILITY - COMMERCIAL,SOSTENIBILIDAD,4,10,2,15,1,1,1.29,506,7,5.28,36.5,0,2,59.5,4,12,5,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,DOMESTIC TREASURY MANAGEMENT,PLATAFORMA ETPB,PLATAFORMA ETPB,2,9,9,13,3,3,4.63,665,0,8.57,18.5,1,8,34.5,0,4,10,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,HIGH VALUE SOLUTIONS,FINANCIACION ESPECIALIZADA,ARRENDAMIENTO CS,4,11,10,14,4,10,4.56,773,9,7.38,18,3,11,130,3,12,8,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,HIGH VALUE SOLUTIONS,TRADE FINANCE,GUARANTEE,8,13,8,14,8,11,0.24,883.5,3,7.9,3.5,10,14,160.5,2,7,5,10
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,INTERNATIONAL TREASURY MANAGEMENT,PIVOT CONNECT,PIVOT - PAGOS Y COBROS,6,7,1,2,6,8,5.48,863,3,1.46,27.5,9,9,38.5,5,6,4,7
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,INTERNATIONAL TREASURY MANAGEMENT,PIVOT CONNECT,PIVOT - PAGOS Y COBROS NG,6,15,4,7,3,11,2.27,554.5,0,4.2,26,6,7,90,1,4,8,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,INTERNATIONAL TREASURY MANAGEMENT,PIVOT DATA,PIVOT DATA,9,9,8,11,2,5,1.72,889,0,1.82,32,2,12,148.5,5,15,9,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,LIQUIDITY MANAGEMENT,PIVOT CONNECT,PIVOT - BILLING,1,10,0,14,5,11,1.62,865.5,6,8.83,18,6,11,56,1,14,4,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,LIQUIDITY MANAGEMENT,PIVOT CONNECT,PIVOT - SALDOS Y MOVIMIENTOS,9,10,7,11,2,9,5.13,297,10,2.31,38.5,7,10,150,9,15,0,0
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,BBVA CONNECTA,BBVA CONNECTA,6,7,8,9,1,4,4.31,825.5,7,7.34,22.5,10,14,40,5,10,2,5
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,GLOBAL SCF (LOCAL MULTICOUNTRY),GLOBAL SCF (LOCAL MULTICOUNTRY),5,6,9,13,6,13,4.53,734.5,10,3.01,16.5,4,11,143.5,1,6,7,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,PIVOT - COMMERCIAL CARD,PIVOT - COMMERCIAL CARD,9,15,2,3,1,4,3.25,962,8,8.46,36.5,8,11,143,9,9,3,5
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,PIVOT - GLOBAL SUPPLY CHAIN FINANCE,PIVOT - GLOBAL SUPPLY CHAIN FINANCE,3,9,1,6,7,14,0.59,608,1,6.15,45,4,12,88.5,9,13,3,12
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,PIVOT - VIRTUAL ACCOUNTS,PIVOT - VIRTUAL ACCOUNTS,4,12,7,13,3,3,5,36.5,6,3.54,33.5,6,12,89,3,6,9,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,ALERTAS FX,ALERTAS FX,0,2,1,10,5,7,0.53,464.5,3,4.2,48,8,8,87,3,14,6,10
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,CREDIT EXPERIENCE,HOJA DE POSICION GLOBAL CS,2,2,3,11,8,12,3.16,568.5,1,0.63,19.5,3,12,5,7,14,7,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,CREDIT EXPERIENCE,MOTORES DE CREDITO,8,13,1,12,4,7,0.05,70,5,9.36,4,2,9,9,4,4,5,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,DIGITAL SIGNING,DIGITAL SIGNING,3,12,1,6,5,13,1.92,624.5,6,2.95,46.5,4,12,90.5,4,5,10,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,FACTORIA ENTERPRISE CLIENTS AMERICA,ONBOARDING DE CLIENTES,8,11,9,12,9,14,0.2,893.5,0,3.35,32,6,12,87,7,9,9,10
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,FX SMART HEDGING,FX SMART HEDGING,3,13,7,9,10,14,5.48,979.5,10,3.48,7.5,10,12,122,9,13,5,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,INFRA MULTICANAL EMPRESAS,AGENDA - CS,1,10,8,15,6,9,5.51,540.5,9,4.78,32,5,6,21.5,1,12,2,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,INFRA MULTICANAL EMPRESAS,COMMERCIAL SERVICE MANAGEMENT,10,14,0,5,2,4,0.44,909.5,2,1.94,23.5,10,12,182,10,11,2,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,INFRA MULTICANAL EMPRESAS,CONTEXTUALIZACION - CS,2,3,6,9,7,9,0.62,269,10,1.95,4,7,9,108.5,5,13,3,7
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,INFRA MULTICANAL EMPRESAS,DASHBOARD PRODUCTOS - CS,9,14,5,8,8,14,1.35,277.5,0,7.97,48.5,3,7,157.5,6,7,1,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,INFRA MULTICANAL EMPRESAS,INFRA EMPRESAS - CS,4,12,5,5,4,7,0.28,230,3,0.78,2.5,7,10,171.5,10,15,2,6
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,INFRA MULTICANAL EMPRESAS,PIEZAS ESTRUCTURALES - CS,2,9,8,8,2,4,3.57,852.5,6,9.24,29,9,10,82.5,1,13,3,4
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,PROCESOS ONBOARDING & CONTRATACIï¿,FIRMA DE DOCUMENTOS CS,9,15,2,9,9,14,0.48,11.5,7,4.59,34,5,6,153.5,8,14,9,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,PLATAFORMA GEMA,PLATAFORMA GEMA,6,10,5,10,7,12,2.1,556,5,0.93,25,6,10,3,3,12,8,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,PLATAFORMA SENDA,CAUDALIMETRO - CS,7,12,1,5,10,15,0.81,667.5,4,6.7,13.5,2,6,102,7,9,5,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,PLATAFORMA SENDA,PLATAFORMA SENDA,6,6,10,12,8,11,1.41,994,7,3.75,14.5,3,5,34,8,14,2,10
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,PLATAFORMA SENDA,PORTALIZACION - CS,2,4,9,13,3,7,1.15,657,2,7.39,1,3,4,84,10,14,2,3
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,PLATAFORMA SENDA,SEGUROS - CS,8,12,10,13,6,6,2.24,339.5,3,4.17,19,5,7,101,2,9,6,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,PLATAFORMA SENDA,SOL. GLOBALES FRONT EMPRESAS  - CS,8,10,5,14,9,12,5.64,280,4,4.74,40.5,4,13,144,4,5,2,4
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,EMBEDDED FINANCE,PLATAFORMA API CHANNEL,ECP EXT APIS & PUBLIC PORTAL,8,12,5,12,6,14,1.8,162.5,4,3.02,12.5,1,8,24,2,10,7,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,EMBEDDED FINANCE,PLATAFORMA API CHANNEL,ECP OPEN BANKING - CS,3,12,6,15,9,10,1.08,574,9,5.68,44.5,9,11,154.5,8,13,5,15
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,SERVICING & CLIENT EXPERIENCE TRANSFORMATION,PIVOT IMPLEMENTATION,PORTAL SERVICIOS,3,13,9,9,6,10,2.5,430,1,3.8,16,5,7,79,3,10,6,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,SERVICING & CLIENT EXPERIENCE TRANSFORMATION,PRODUCTIVIDAD Y DEVOPS,DEVOPS Y METRICAS SW TRANSFORMATION,9,12,6,7,3,3,0.23,5.5,10,7.93,35.5,4,12,103,6,9,3,4
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,GLOBAL CHANNELS,APIS,3,10,1,11,5,10,3.4,623.5,2,5.7,0,8,11,110.5,7,7,7,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,GLOBAL CHANNELS,ECP,9,14,7,14,8,13,3.51,339.5,6,8.97,30.5,1,5,135.5,1,8,10,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,PIVOT NET,FX (NO CRITICO),9,12,9,11,3,10,4.84,383.5,10,6.66,25.5,2,4,104.5,10,11,2,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,PIVOT NET,PIVOT NET - ALERTAS Y NOTIFICACIONES,5,9,8,9,8,10,0.4,467,7,7.53,34,0,5,118.5,9,12,8,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,PIVOT NET,PIVOT NET - CANAL,1,7,9,14,2,5,0.07,177,6,6.01,11.5,1,11,134.5,4,7,10,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,PIVOT NET,PIVOT NET - CONTRATACION,9,9,8,9,1,8,2.53,244,10,8.05,48,8,14,172.5,4,7,8,15
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,PIVOT NET,PIVOT NET - REPORTING,2,8,2,7,4,10,5.73,242.5,8,4.92,43,2,6,42.5,1,2,9,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,PIVOT NET,PIVOT NET (NO CRITICO) - BBVA AGENT,2,3,2,11,4,9,4.73,175.5,10,3.96,12,8,11,119.5,5,13,8,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,AGENDA GLOBAL,6,10,1,12,7,15,4.59,355,10,9.94,27.5,5,8,135.5,0,0,5,7
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,ATRIBUCIONES - GLOBAL ALFA,1,12,9,14,6,10,4.11,219.5,2,4.46,13,6,8,6.5,8,11,7,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CAS - GLOBAL - ALFA,7,14,3,6,5,12,0.57,879,9,7.92,18.5,6,14,0,5,10,9,9
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CATALOGO DE PRODUCTOS - GLOBAL - ALFA,6,14,8,12,5,9,0.68,589,3,8.04,7,10,13,7.5,9,13,2,5
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CONSENTIMIENTOS - GLOBAL - ALFA,2,13,4,13,4,9,1.71,345.5,9,4.85,3.5,7,13,134.5,8,8,2,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CONTEXTUALIZACION GLOBAL,7,14,7,15,2,13,2.41,788.5,9,2.27,19,8,9,47.5,9,15,5,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CONTRATOS - GLOBAL - ALFA,10,10,4,4,1,7,0.1,528.5,5,7,19,4,8,30,7,13,5,6
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CONVIVENCIA - GLOBAL - ALFA,1,3,6,7,4,15,0.72,510.5,10,4.95,17,0,13,166,5,7,1,4
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,CORE OPEN BANKING GLOBAL,2,6,0,8,7,11,2.45,155.5,7,7.47,7.5,8,8,128.5,4,12,5,5
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,DASHBOARD PRODUCTOS GLOBAL,7,9,3,8,4,7,4.39,776,7,7.8,25,1,7,59.5,8,9,7,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,ECP OPEN BANKING GLOBAL,6,14,3,15,8,12,1.69,305,4,4.74,12.5,5,10,1.5,9,14,9,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,FIRMA Y RIESGO - GLOBAL - ALFA,4,9,7,7,1,6,5.86,600.5,2,1.41,29.5,1,11,59,0,13,6,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,GLOBAL DEVICE MANAGER - GLOBAL - ALFA,2,15,9,15,9,11,0.96,130.5,6,3.14,40.5,9,13,140.5,3,9,3,4
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,INFRA EMPRESAS GLOBAL,3,15,9,14,9,14,3.18,991.5,3,5.68,40,9,13,162.5,8,11,3,11
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,LISTAS NEGRAS - GLOBAL - ALFA,6,7,4,7,5,13,3.57,449.5,10,4.65,14.5,3,9,2,9,15,9,14
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,MOVIMIENTOS - GLOBAL - ALFA,3,12,4,10,4,6,1.71,332,4,7.03,39,6,6,18,7,11,10,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,PARAMETRIZACION GLOBAL,5,12,8,9,7,11,1.28,569,5,6.85,30.5,5,11,122.5,7,13,1,4
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,PERSONAS - GLOBAL - ALFA,7,15,10,13,3,9,5.05,667.5,3,4.35,16.5,8,10,6.5,7,13,3,12
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,REGISTRO DE ACTIVIDAD - GLOBAL - ALFA,1,14,9,10,4,14,5.25,526,2,6.6,29.5,6,7,117,1,1,2,5
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,SERVICIOS INFRAESTRUCTURA MULTICANAL - ALFA,1,10,9,14,5,12,1.91,540,1,7.49,43.5,8,13,124.5,1,9,7,13
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,TABLAS CORPORATIVAS - GLOBAL - ALFA,6,9,0,10,7,14,1.12,603,2,1.15,25,0,9,156,9,10,4,8
06/01/2025,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,INFRAESTRUCTURA MULTICANAL ALPHA,USUARIOS - GLOBAL - ALFA,2,11,8,13,3,5,0.24,340,4,3.85,15,1,13,74,5,5,5,8
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,ALPHA CONTRATOS,2,11,3,11,4,9,0.64,586.5,1,3.32,39,9,10,106.5,6,14,5,13
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,ALPHA MOVIMIENTOS,4,11,6,13,1,3,2.3,474,7,5.97,8.5,5,6,137.5,2,15,3,3
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,ALPHA TRANSVERSALES,2,11,5,8,0,13,2.85,166,8,6.49,23,3,14,90,4,5,3,11
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,ALPHA USUARIOS Y CAS,5,14,5,6,9,13,4.6,116.5,5,8.03,8.5,0,7,82,9,14,3,5
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,CLIENT 360 NEGOCIO,0,1,4,6,9,15,2.29,452.5,5,3.05,8.5,7,7,104,9,13,1,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,CLIENT 360 SOSTENIBILIDAD,1,4,3,3,9,11,0.45,871.5,2,1.9,24,1,3,48.5,7,12,9,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,COMPLIANCE,1,4,5,13,6,9,3.11,863.5,5,8.95,6,1,15,110,8,9,2,3
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,CROSS,3,6,8,12,0,2,5.38,5,9,7.84,43,1,4,64,3,11,9,15
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,PROYECTOS FINALISTAS MODELO UNICO DE DATOS,3,9,3,7,0,10,2.25,210,4,5.98,14.5,6,7,53,10,11,8,12
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,TALENT & CULTURE ADVANCED ANALYTICS,0,14,0,10,3,12,5.36,456,4,6.26,34.5,1,8,21.5,5,10,10,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,DATA MODELING & DEVELOPMENT,TOP DOWN CIB,8,12,7,15,8,11,3.39,637.5,9,3.42,21,8,9,108.5,3,4,8,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,ENGINEERING - DATA,CASOS DE USO DATA,5,9,7,9,6,7,1.02,679,1,9.03,45,2,2,146,8,15,5,8
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,ENGINEERING - DATA,CIB_CUMPLIMIENTO_FRAUDE-OTROS,8,8,9,14,2,3,1.14,969.5,1,9.03,27.5,6,11,115.5,8,14,8,12
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,ENGINEERING - DATA,DATIO EVOLUTIONS,0,1,4,5,4,13,2.44,925.5,8,7.32,49,4,8,18,3,10,8,12
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,ENGINEERING - DATA,TRASCENDENCE,7,8,7,9,4,7,1.4,491.5,9,4.71,0.5,1,11,78,1,5,9,15
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,FINANZAS - DATA,BCBS239 - FINANCIERA,4,15,9,10,3,12,0.56,280.5,2,4.34,4.5,0,15,106,1,5,8,8
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,FINANZAS - DATA,CDD_FDT/RDT,2,8,8,15,2,12,3,875.5,10,0.71,3.5,4,7,71,4,12,6,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,FINANZAS - DATA,FINANZAS DATA-OTROS,4,10,7,7,6,8,3.72,129.5,4,0.69,20.5,0,2,186.5,8,10,6,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,RIESGOS - DATA,BCBS239 - RIESGOS,7,11,7,12,6,14,5.84,721.5,7,7.47,6.5,7,15,124,5,13,0,3
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,RIESGOS - DATA,CRONOS,9,12,5,9,1,14,2.31,794.5,2,4.52,39.5,2,10,183,5,8,3,14
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,RIESGOS - DATA,NGA,7,14,1,6,2,11,3.55,277,0,0.56,44.5,9,13,17,5,5,3,9
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,RIESGOS - DATA,RDT,3,8,6,9,1,10,2.44,528,3,4.97,46.5,2,11,91,3,9,1,12
06/01/2025,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,RIESGOS - DATA,RIESGOS DATA-OTROS,4,12,5,10,3,6,5.1,455.5,5,2.53,49,6,12,74,5,6,3,7
06/01/2025,PERU,DATA,DATAHUB,DATIO CIB/T&C/RIC,CONCILIACIONES Y PRECIOS DINAMICOS,3,6,6,8,6,9,5.14,384,4,0.23,20.5,5,5,157,2,6,8,9
06/01/2025,PERU,DATA,DATAHUB,DATIO CIB/T&C/RIC,INFORMACION DE DATIO TALENTO Y CULTURA,8,13,1,5,10,12,2.14,104,5,1.73,34.5,8,15,142,8,14,6,9
06/01/2025,PERU,DATA,DATAHUB,DATIO CIB/T&C/RIC,OPERACIONES Y VINCULO DE CLIENTES Y RIESGOS,5,8,8,8,5,5,2.15,510,2,5.34,5.5,10,13,24.5,9,15,3,13
06/01/2025,PERU,DATA,DATAHUB,DATIO CLIENT SOLUTIONS,CS ADVICE FOR FINANCIAL HEALTH,3,6,0,12,3,6,0.76,333,4,7.9,42,3,8,20,3,9,8,14
06/01/2025,PERU,DATA,DATAHUB,DATIO CLIENT SOLUTIONS,CS CLIENT 360,0,11,8,10,2,14,4.26,949.5,9,6.22,24,5,13,65.5,5,12,2,13
06/01/2025,PERU,DATA,DATAHUB,DATIO CLIENT SOLUTIONS,CS OMNI & CRM,9,11,5,6,4,13,3.37,317.5,1,8.04,17,10,13,159.5,7,13,4,7
06/01/2025,PERU,DATA,DATAHUB,DATIO CLIENT SOLUTIONS,CS SOSTENIBILIDAD,1,9,7,12,2,11,4.68,16.5,6,2.58,10.5,1,6,174,2,3,1,5
06/01/2025,PERU,DATA,DATAHUB,DATIO CLIENT SOLUTIONS,CS TRANSVERSAL,4,14,3,11,8,11,3.06,293,9,5.2,9,9,13,61.5,5,5,1,4
06/01/2025,PERU,DATA,DATAHUB,DATIO ENGINEERING,DATAMART LOCAL,9,10,1,2,3,10,5.01,49,9,7.58,33.5,6,9,150,6,14,2,4
06/01/2025,PERU,DATA,DATAHUB,DATIO ENGINEERING,DATIO DATA&ENG,5,9,6,9,0,8,2.64,351.5,1,0.13,35,5,10,68.5,7,13,8,8
06/01/2025,PERU,DATA,DATAHUB,DATIO ENGINEERING,LOCAL DATA MODEL,1,8,8,14,6,15,2.4,72.5,4,7.9,13.5,2,9,93.5,6,10,10,14
